party,partyLabel,colorLabel
http://www.wikidata.org/entity/Q1287076,Croatian Liberation Movement,red
http://www.wikidata.org/entity/Q24083594,Cross-Community Labour Alternative,indian red
http://www.wikidata.org/entity/Q5190145,Crusade of Romanianism,carmine
http://www.wikidata.org/entity/Q3366548,Czech National Socialist Party,dark blue
http://www.wikidata.org/entity/Q5201761,Czech Realist Party,cornflower blue
http://www.wikidata.org/entity/Q341148,Czech Social Democratic Party,Persimmon
http://www.wikidata.org/entity/Q2565151,Czechoslovak National Democracy,navy blue
http://www.wikidata.org/entity/Q23014499,DEMOS,baby blue
http://www.wikidata.org/entity/Q3678758,Daisy Civic List,baby blue
http://www.wikidata.org/entity/Q5219816,Danish Unity,royal blue
http://www.wikidata.org/entity/Q5255543,Democratic Alliance,crimson
http://www.wikidata.org/entity/Q2037506,Democratic Centre,robin egg blue
http://www.wikidata.org/entity/Q2728438,Democratic Change,yellow
http://www.wikidata.org/entity/Q530916,Democratic European Force,robin egg blue
http://www.wikidata.org/entity/Q673339,Democratic Labor Party,teal
http://www.wikidata.org/entity/Q5255632,Democratic Labour Party,light orange
http://www.wikidata.org/entity/Q5255634,Democratic Labour Party,Alizarin crimson
http://www.wikidata.org/entity/Q956182,Democratic Labour Party,gold
http://www.wikidata.org/entity/Q1128823,Democratic Left,orange-red
http://www.wikidata.org/entity/Q1186195,Democratic Left Movement,red
http://www.wikidata.org/entity/Q3366682,Democratic Leftwing Republican Party,red
http://www.wikidata.org/entity/Q852402,Democratic Liberal Party,light orange
http://www.wikidata.org/entity/Q1322751,Democratic Movement Party,sea green
http://www.wikidata.org/entity/Q5255661,Democratic National Initiative,fuchsia
http://www.wikidata.org/entity/Q5255661,Democratic National Initiative,magenta
http://www.wikidata.org/entity/Q2891183,Democratic National Salvation Front,purple
http://www.wikidata.org/entity/Q3073267,Democratic Party,purple
http://www.wikidata.org/entity/Q14943188,Democratic Party,purple
http://www.wikidata.org/entity/Q25338957,Democratic Party,light orange
http://www.wikidata.org/entity/Q5559969,Democratic Party,green
http://www.wikidata.org/entity/Q2067217,Democratic Party,Rosso corsa
http://www.wikidata.org/entity/Q2212488,Democratic Party,red
http://www.wikidata.org/entity/Q780158,Democratic Party,blue-gray
http://www.wikidata.org/entity/Q5255701,Democratic Party,white
http://www.wikidata.org/entity/Q5255701,Democratic Party,lithopone white
http://www.wikidata.org/entity/Q1277089,Democratic Party,NCS yellow
http://www.wikidata.org/entity/Q1783440,Democratic Party,apple green
http://www.wikidata.org/entity/Q15984909,Democratic Party of Chile,navy blue
http://www.wikidata.org/entity/Q1819658,Democratic Party of the Atlantic,blue
http://www.wikidata.org/entity/Q23073946,Democratic Peasants' Party,lithopone white
http://www.wikidata.org/entity/Q23073946,Democratic Peasants' Party,white
http://www.wikidata.org/entity/Q3533570,Democratic People's Front,red
http://www.wikidata.org/entity/Q18615415,Democratic Progress Party,red
http://www.wikidata.org/entity/Q3555896,Democratic Renewal,azure
http://www.wikidata.org/entity/Q3775933,Democratic Renewal,gold
http://www.wikidata.org/entity/Q3326675,Democratic Republican Movement,grey
http://www.wikidata.org/entity/Q1226100,Democratic Social Movement,orange
http://www.wikidata.org/entity/Q5255823,Democratic Socialist Movement,red
http://www.wikidata.org/entity/Q6064268,Democratic Socialist Radical Party,purple
http://www.wikidata.org/entity/Q1058959,Democratic Union,purple
http://www.wikidata.org/entity/Q5255842,Democratic Union Party,blue
http://www.wikidata.org/entity/Q3206451,Democratic Union for the Republic,orange
http://www.wikidata.org/entity/Q5255865,Democratic and Agricultural Labour Party,orange
http://www.wikidata.org/entity/Q2450519,Democratic and Republican Left,red
http://www.wikidata.org/entity/Q541679,Democrats of the Left,raspberry
http://www.wikidata.org/entity/Q1200751,Desiya Murpokku Dravida Kazhagam,teal
http://www.wikidata.org/entity/Q3024726,Destiny New Zealand,yellow
http://www.wikidata.org/entity/Q2511535,Dominican Liberation Party,purple
http://www.wikidata.org/entity/Q3366373,Dominican Party,brown
http://www.wikidata.org/entity/Q1975570,Dominion Party,emerald
http://www.wikidata.org/entity/Q4155724,Dveri,Alizarin crimson
http://www.wikidata.org/entity/Q5328721,East Kilbride Alliance,white
http://www.wikidata.org/entity/Q5328721,East Kilbride Alliance,lithopone white
http://www.wikidata.org/entity/Q580666,Ecuadorian Roldosist Party,crimson
http://www.wikidata.org/entity/Q5347075,Eelam People's Democratic Party,red
http://www.wikidata.org/entity/Q857270,Eelam People's Revolutionary Liberation Front,red
http://www.wikidata.org/entity/Q3535349,Eelam Revolutionary Organisation,red
http://www.wikidata.org/entity/Q286519,El-Ghad Party,light orange
http://www.wikidata.org/entity/Q5374077,Empire Free Trade Crusade,gainsboro
http://www.wikidata.org/entity/Q5377975,England First Party,carmine
http://www.wikidata.org/entity/Q3087061,Ensemble pour la république,firebrick
http://www.wikidata.org/entity/Q5384133,Equal Parenting Alliance,light grey
http://www.wikidata.org/entity/Q2562337,Eretz Yisrael Shelanu,blue
http://www.wikidata.org/entity/Q3366717,Estonian Social Democratic Workers' Party,red
http://www.wikidata.org/entity/Q28408322,European Georgia,red
http://www.wikidata.org/entity/Q927007,European Party,dark blue
http://www.wikidata.org/entity/Q1720273,Evolutionist Party,purple
http://www.wikidata.org/entity/Q504564,FRELIMO,crimson
http://www.wikidata.org/entity/Q5433683,Fancy Dress Party,beige
http://www.wikidata.org/entity/Q1395689,Fanmi Lavalas,cobalt blue
http://www.wikidata.org/entity/Q648924,Farabundo Martí National Liberation Front,crimson
http://www.wikidata.org/entity/Q60668,Fatherland for All,blue
http://www.wikidata.org/entity/Q5437726,Fathers Rights-Responsibility Party,purple
http://www.wikidata.org/entity/Q667836,Federal Democratic Union of Switzerland,red-violet
http://www.wikidata.org/entity/Q55611532,Federal Labor Party (NSW),terra cotta
http://www.wikidata.org/entity/Q5442510,Fellowship Party,aquamarine
http://www.wikidata.org/entity/Q387006,Fidesz,orange
http://www.wikidata.org/entity/Q1336488,Fifth Republic Movement,red
http://www.wikidata.org/entity/Q17064859,Fiji Labour Party,maroon
http://www.wikidata.org/entity/Q612939,Fiji Labour Party,red
http://www.wikidata.org/entity/Q17510648,Fiji United Freedom Party,yellow
http://www.wikidata.org/entity/Q4120604,Finnish Islamic Party,illuminating emerald
http://www.wikidata.org/entity/Q2577092,For a Good Latvia,maroon
http://www.wikidata.org/entity/Q455038,Free Conservative Party,Navajo white
http://www.wikidata.org/entity/Q962942,Free Egyptians Party,red
http://www.wikidata.org/entity/Q3512770,Free England Party,carmine
http://www.wikidata.org/entity/Q3078673,Free Forum,yellow
http://www.wikidata.org/entity/Q2567660,Free Motherland,light orange
http://www.wikidata.org/entity/Q5500063,Free Scotland Party,teal
http://www.wikidata.org/entity/Q50798356,Free Sicilians,yellow
http://www.wikidata.org/entity/Q1453449,Free Trade Party,lime
http://www.wikidata.org/entity/Q28137005,Free and Independent Faction,buff
http://www.wikidata.org/entity/Q5501792,French India Socialist Party,red
http://www.wikidata.org/entity/Q3366458,French Party,cornflower blue
http://www.wikidata.org/entity/Q2498858,French Popular Party,blue
http://www.wikidata.org/entity/Q1332068,French Section of the Workers' International,red
http://www.wikidata.org/entity/Q668067,Frenti-Mudança,yellow
http://www.wikidata.org/entity/Q3088555,Front for the Defence of Constitutional Institutions,gold
http://www.wikidata.org/entity/Q5702329,Front of Followers of the Line of the Imam and the Leader,light orange
http://www.wikidata.org/entity/Q2021587,Front of National Unity,red
http://www.wikidata.org/entity/Q25104577,Front of Prudence and Development,orchid
http://www.wikidata.org/entity/Q3366461,Fusion of Haitian Social Democrats,light orange
http://www.wikidata.org/entity/Q47795,Future and Freedom,Persian blue
http://www.wikidata.org/entity/Q5511692,Fís Nua,coral
http://www.wikidata.org/entity/Q5512790,GABRIELA,purple
http://www.wikidata.org/entity/Q2575544,Gahal,Persian blue
http://www.wikidata.org/entity/Q5532259,General Union for the Good of Macau,purple
http://www.wikidata.org/entity/Q5533819,Genuine Republican Party,light orange
http://www.wikidata.org/entity/Q458791,German Conservative Party,blue
http://www.wikidata.org/entity/Q328195,German Democratic Party,Mandarin orange
http://www.wikidata.org/entity/Q694714,German Progress Party,gold
http://www.wikidata.org/entity/Q560536,German Social Union,cornflower blue
http://www.wikidata.org/entity/Q2891023,Gesher,blue
http://www.wikidata.org/entity/Q5566807,Glasgow First,red
